June 12,Reliever,June 5,Reliever,May 29,Reliever,May 22,Reliever,May 15,Reliever,May 8,Reliever,May 1,Reliever,April 24,Reliever,April 17,Reliever,April 10,Reliever,April 3,Reliever
27,Louis Varland,27,Reed Garrett,27,Emilio Pagán,27,Kenley Jansen,27,Trevor Megill,27,Edwin Uceta,27,Edwin Uceta,27,Justin Martinez,27,Chris Martin,27,Robert Garcia,27,Justin Martinez
28,Ryan Helsley,28,Kenley Jansen,28,Lucas Erceg,28,Will Vest,28,Edwin Uceta,28,Fernando Cruz,28,Pete Fairbanks,28,Emmanuel Clase,28,Robert Garcia,28,Luke Jackson,28,Yennier Cano
29,Daniel Palencia,29,Jordan Romano,29,Kenley Jansen,29,Bryan King,29,Fernando Cruz,29,Griffin Jax,29,Camilo Doval,29,Ryan Walker,29,Orion Kerkering,29,Trevor Megill,29,Ben Joyce
30,Reid Detmers,30,Tyler Rogers,30,Pete Fairbanks,30,Abner Uribe,30,Griffin Jax,30,Kirby Yates,30,Carlos Estévez,30,Ryan Pressly,30,Bryan Abreu,30,Hunter Harvey,30,Yimi García
31,Yariel Rodríguez,31,Tommy Kahnle,31,Robert Garcia,31,Pete Fairbanks,31,Chris Martin,31,Evan Phillips,31,Yimi García,31,Edwin Uceta,31,Kenley Jansen,31,Tyler Rogers,31,Kenley Jansen
32,Félix Bautista,32,Robert Garcia,32,Ryan Walker,32,Trevor Megill,32,Tony Santillan,32,Kenley Jansen,32,Yennier Cano,32,Tommy Kahnle,32,Pete Fairbanks,32,Orion Kerkering,32,Pete Fairbanks
33,Kenley Jansen,33,Justin Martinez,33,Devin Williams,33,Carlos Estévez,33,Bryan King,33,Porter Hodge,33,Phil Maton,33,Carlos Estévez,33,Mason Montgomery,33,Jhoan Durán,33,Mason Montgomery
34,Jordan Romano,34,Ryan Walker,34,Tommy Kahnle,34,Justin Martinez*,34,Raisel Iglesias,34,Hunter Gaddis,34,Kenley Jansen,34,Tony Santillan,34,Edwin Díaz,34,Cade Smith,34,Chris Martin
35,Camilo Doval,35,David Bednar,35,Shelby Miller,35,Raisel Iglesias,35,Kenley Jansen,35,Carlos Estévez,35,Fernando Cruz,35,Devin Williams,35,Cade Smith,35,Tony Santillan,35,Robert Garcia
36,Jeremiah Estrada,36,Edwin Uceta,36,Brendon Little,36,Andrew Kittredge,36,Will Vest,36,Tommy Kahnle,36,Griffin Jax,36,Orion Kerkering,36,Phil Maton,36,Kenley Jansen,36,Trevor Megill
37,Pete Fairbanks,37,Shelby Miller,37,Huascar Brazobán,37,Edwin Uceta,37,Hunter Gaddis,37,Trevor Megill,37,Will Vest,37,Trevor Megill,37,Blake Treinen,37,Pete Fairbanks,37,Tyler Rogers
38,Jeff Hoffman,38,Brendon Little,38,Félix Bautista,38,Hunter Gaddis,38,Yimi García,38,Kyle Finnegan,38,Porter Hodge,38,Porter Hodge,38,Kirby Yates,38,Mason Montgomery,38,Kyle Finnegan
39,Reed Garrett,39,Yariel Rodríguez,39,Raisel Iglesias,39,Yimi García,39,Carlos Estévez,39,Tyler Ferguson,39,Chris Martin,39,A.J. Minter,39,Ryne Stanek,39,Carlos Estévez,39,Jordan Romano
40,Edwin Uceta,40,Félix Bautista,40,Alex Vesia,40,Daniel Palencia,40,Jordan Romano,40,Félix Bautista,40,Tony Santillan,40,Hunter Gaddis,40,Kyle Finnegan,40,Félix Bautista,40,Justin Slaten
41,Tony Santillan,41,Raisel Iglesias,41,Justin Slaten,41,Huascar Brazobán,41,Félix Bautista,41,Louis Varland,41,Hunter Gaddis,41,Luke Jackson,41,Hunter Gaddis,41,Porter Hodge,41,Orion Kerkering
42,Shelby Miller,42,Alex Vesia,42,Kyle Finnegan,42,Félix Bautista,42,Abner Uribe,42,Will Vest,42,Tommy Kahnle,42,Abner Uribe,42,Luke Jackson,42,Cole Sands,42,Edwin Uceta
43,Brendon Little,43,Kyle Finnegan,43,Louis Varland,43,Kyle Finnegan,43,Kyle Finnegan,43,Yennier Cano,43,Trevor Megill,43,Reed Garrett,43,Trevor Megill,43,Kyle Finnegan,43,Kirby Yates
44,Dylan Lee,44,Louis Varland,44,Reed Garrett,44,Louis Varland,44,Louis Varland,44,Phil Maton,44,Kyle Finnegan,44,Brendon Little,44,Jhoan Durán,44,Phil Maton,44,Carlos Estévez
45,Phil Maton,45,Randy Rodríguez,45,David Bednar,45,Shelby Miller,45,Porter Hodge,45,Reed Garrett,45,Reed Garrett,45,Shelby Miller,45,Alex Vesia,45,JoJo Romero,45,Alex Vesia
46,Alex Vesia,46,Kirby Yates,46,Ben Casparius,46,Brendon Little,46,Tommy Kahnle,46,Shelby Miller,46,Shelby Miller,46,Jalen Beeks,46,JoJo Romero,46,Blake Treinen,46,Porter Hodge
47,Kyle Finnegan,47,Hunter Gaddis,47,Hunter Gaddis,47,Dylan Lee,47,Yennier Cano,47,Chris Martin,47,Justin Martinez*,47,Fernando Cruz,47,A.J. Minter,47,Camilo Doval,47,Keegan Akin
48,Matt Brash,48,Dylan Lee,48,Dylan Lee,48,Tommy Kahnle,48,Phil Maton,48,Tony Santillan,48,Kyle Leahy,48,Mason Montgomery,48,Ryan Pressly,48,Dennis Santana,48,Tony Santillan
49,Hunter Gaddis,49,Serathony Domínguez,49,Randy Rodríguez,49,Phil Maton,49,Ryne Stanek,49,Bryan King,49,Brendon Little,49,Will Vest,49,Brendon Little,49,Reed Garrett,49,Ryan Pressly
50,Serathony Domínguez,50,Huascar Brazobán,50,Serathony Domínguez,50,Ryne Stanek,50,Alex Vesia,50,Daysbel Hernández,50,Tim Herrin,50,Matt Strahm,50,Daniel Lynch IV,50,Edwin Uceta,50,Cole Sands
51,Kirby Yates,51,Michael Kopech,51,Kyle Leahy,51,Alex Vesia,51,Reed Garrett,51,Tyler Holton,51,Mason Montgomery,51,Pete Fairbanks,51,Tommy Kahnle,51,Matt Strahm,51,Hunter Harvey
52,Huascar Brazobán,52,Mason Montgomery,52,Tony Santillan,52,Justin Slaten,52,Shelby Miller,52,Tim Herrin,52,Alex Vesia,52,Phil Maton,52,Dennis Santana,52,Alex Vesia,52,JoJo Romero
53,Brock Stewart,53,Mark Leiter Jr. ,53,Mark Leiter Jr. ,53,Brad Keller,53,Daniel Palencia,53,Alex Vesia,53,Mark Leiter Jr. ,53,Alex Vesia,53,Félix Bautista,53,Justin Slaten,53,Luke Jackson
54,Greg Weissert,54,Dennis Santana,54,Dennis Santana,54,Garrett Cleavinger,54,Garrett Cleavinger,54,Ryan Pressly,54,Bryan King,54,Jack Dreyer,54,Reed Garrett,54,Tyler Holton,54,Dennis Santana
55,Michael Kopech,55,Brad Keller,55,Brad Keller,55,Mason Montgomery,55,Mason Montgomery,55,Mark Leiter Jr. ,55,Tyler Ferguson,55,Chris Martin,55,Edwin Uceta,55,Tommy Kahnle,55,Phil Maton
56,Mason Montgomery,56,Garrett Cleavinger,56,Garrett Cleavinger,56,Daysbel Hernández,56,Tyler Holton,56,Luke Jackson,56,Félix Bautista,56,Tyler Holton,56,Matt Strahm,56,Anthony Banda,56,Tyler Holton
57,Mark Leiter Jr. ,57,Orion Kerkering,57,Orion Kerkering,57,Robert Garcia,57,Tim Herrin,57,Jordan Romano,57,Louis Varland,57,Daniel Lynch IV,57,Cole Sands,57,Justin Sterner,57,Chad Green
58,Dennis Santana,58,Matt Brash,58,Yennier Cano,58,Matt Strahm,58,Ryan Pressly,58,David Bednar,58,David Bednar,58,Dennis Santana,58,Justin Slaten,58,Kirby Yates,58,Ryan Borucki
59,Brad Keller,59,Matt Strahm,59,Justin Martinez,59,Nick Mears,59,Luke Jackson,59,Dennis Santana,59,Dennis Santana,59,Griffin Jax,59,Tyler Holton,59,Chad Green,59,Reed Garrett
60,Garrett Cleavinger,60,Drew Pomeranz,60,Matt Strahm,60,Tyler Holton,60,David Bednar,60,Nick Mears,60,Jalen Beeks,60,Félix Bautista,60,Anthony Banda,60,Erik Miller,60,Garrett Cleavinger
61,Orion Kerkering,61,Tyler Holton,61,Daysbel Hernández,61,Tim Herrin,61,Dennis Santana,61,Yimi García,61,Daysbel Hernández,61,Bryan King,61,Justin Sterner,61,Mark Leiter Jr. ,61,Joel Payamps
62,Matt Strahm,62,Kyle Leahy,62,Drew Pomeranz,62,Ryan Pressly,62,Nick Mears,62,Devin Williams,62,Dylan Lee,62,JoJo Romero,62,Bryan King,62,Seranthony Domínguez,62,Erik Miller
63,Drew Pomeranz,63,Tony Santillan,63,Tyler Holton,63,Luke Jackson,63,Devin Williams,63,Gabe Speier,63,Tim Hill,63,Mark Leiter Jr. ,63,Abner Uribe,63,Shelby Miller,63,Matt Strahm
64,Jared Koenig,64,Jared Koenig,64,Tim Herrin,64,Dennis Santana,64,Pierce Johnson,64,Abner Uribe,64,JoJo Romero,64,Jacob Webb,64,Randy Rodríguez,64,Ryan Pressly,64,A.J. Minter
65,Raisel Iglesias,65,Tim Herrin,65,Ryne Stanek,65,Kevin Ginkel,65,Danny Coulombe,65,Dylan Lee,65,Julian Merryweather,65,José Buttó,65,Mark Leiter Jr. ,65,Keegan Akin,65,Anthony Bender
66,John Schreiber,66,Ben Casparius,66,Phil Maton,66,Orion Kerkering,66,Brendon Little,66,Jorge López,66,Abner Uribe,66,Randy Rodríguez,66,Seranthony Domínguez,66,A.J. Minter,66,Paul Sewald
67,Tyler Holton,67,Phil Maton,67,Gregory Soto,67,Pierce Johnson,67,Dylan Lee,67,Brock Stewart,67,Luke Jackson,67,Seranthony Domínguez,67,Shelby Miller,67,Anthony Bender,67,Hunter Gaddis
68,Gregory Soto,68,Gregory Soto,68,Jared Koenig,68,Brock Stewart,68,Brock Stewart,68,Justin Sterner,68,Seranthony Domínguez,68,Tim Herrin,68,Tim Herrin,68,Paul Sewald,68,Garrett Whitlock
69,Bryan Baker,69,Brock Stewart,69,Brock Stewart,69,JoJo Romero,69,Greg Weissert,69,Tim Hill,69,Orion Kerkering,69,Paul Sewald,69,Paul Sewald,69,Hunter Gaddis,79,Pierce Johnson
70,JoJo Romero,70,JoJo Romero,70,JoJo Romero,70,Greg Weissert,70,Justin Slaten,70,JoJo Romero,70,Matt Strahm,70,Erik Miller,70,Erik Miller,70,Ben Casparius,70,Tommy Kahnle
71,Justin Wilson,71,Bryan Baker,71,Jonathan Loáisiga,71,Jonathan Loáisiga,71,JoJo Romero,71,Daniel Palencia,71,Tyler Holton,71,Chad Green,71,Chad Green,71,Jacob Webb,71,Colin Holderman
72,Chris Martin,72,Carlos Vargas,72,Carlos Vargas,72,Gabe Speier,72,Mason Fluharty,72,Garrett Cleavinger,72,Devin Williams,72,Calvin Faucher,72,Calvin Faucher,72,Randy Rodríguez,72,Tyler Ferguson
73,Yennier Cano,73,Yennier Cano,73,Mason Montgomery,73,Shawn Armstrong,73,Tyler Ferguson,73,Mason Montgomery,73,Chad Green,73,Gabe Speier,73,Jacob Webb,73,Bryan King,73,Mark Leiter Jr. 
74,Gabe Speier,74,Daysbel Hernández,74,Matt Brash,74,Matt Brash,74,Gabe Speier,74,Kevin Ginkel,74,Huascar Brazobán,74,Justin Sterner,74,Gabe Speier,74,Abner Uribe,74,Seranthony Domínguez
75,Shawn Armstrong,75,Justin Wilson,75,Yariel Rodríguez,75,David Bednar,75,Huascar Brazobán,75,Orion Kerkering,75,Gabe Speier,75,Louis Varland,75,Keegan Akin,75,Gabe Speier,75,Fernando Cruz
,IL ,,IL ,,IL ,,IL ,,IL ,,IL ,,IL ,,IL ,,IL ,,IL ,,IL 
,Blake Treinen (60-day),,Blake Treinen (60-day),,Blake Treinen,,Blake Treinen,,Blake Treinen,,Blake Treinen,,Kevin Ginkel,,Kevin Ginkel,,Kevin Ginkel,,Kevin Ginkel,,Kevin Ginkel
,Yimi García,,Yimi García,,Yimi García,,Ben Joyce,,Ben Joyce,,Ben Joyce,,Blake Treinen,,Blake Treinen,,Liam Hendriks,,Jesús Tinoco,,Jesús Tinoco
,Ben Joyce (out),,Ben Joyce (out),,Ben Joyce,,Hunter Harvey,,Hunter Harvey,,Hunter Harvey,,Ben Joyce,,Colin Holderman,,Colin Holderman,,Liam Hendriks,,Liam Hendriks
,Hunter Harvey (60-day),,Hunter Harvey (60-day),,Hunter Harvey,,A.J. Minter,,A.J. Minter,,A.J. Minter,,Hunter Harvey,,Ben Joyce,,Ben Joyce,,Alexis Díaz,,Alexis Díaz
,A.J. Minter,,A.J. Minter,,A.J. Minter,,A.J. Puk,,A.J. Puk,,A.J. Puk,,A.J. Minter,,Hunter Harvey,,Hunter Harvey,,Colin Holderman,,Just Missed
,A.J. Puk,,A.J. Puk,,A.J. Puk,,Evan Phillips,,Justin Martinez,,Justin Martinez,,A.J. Puk,,A.J. Puk,,Just Missed,,Just Missed,,Will Vest
,Evan Phillips (out),,Evan Phillips (out),,Evan Phillips,,José Alvarado (susp),,Evan Phillips,,Just Missed,,Just Missed,,Just Missed,,Will Vest,,Will Vest,,Justin Sterner
,José Alvarado (susp),,José Alvarado (susp),,José Alvarado (susp),,Kirby Yates,,Just Missed,,Matt Strahm,,Brock Stewart,,Brock Stewart,,Ronny Henriquez,,Anthony Veneziano,,Anthony Veneziano
,Porter Hodge,,Porter Hodge,,Kirby Yates,,Porter Hodge,,Matt Strahm,,Greg Weissert,,Keegan Akin,,Keegan Akin,,Hayden Birdsong,,Jorge Alcala,,Jorge Alcala
,Danny Coulombe,,Fernando Cruz,,Porter Hodge,,Fernando Cruz,,Andrew Kittredge,,Keegan Akin,,Hayden Birdsong,,Hayden Birdsong,,,,,,
,Justin Slaten,,Chris Martin,,Fernando Cruz,,Chris Martin,,Jesús Tinoco,,Hayden Birdsong,,Calvin Faucher,,Jesús Tinoco,,,,,,
,Luke Weaver,,Danny Coulombe,,Chris Martin,,Danny Coulombe,,Hayden Birdsong,,Calvin Faucher,,Jesús Tinoco,,,,,,,,
,Justin Martinez,,Justin Slaten,,Danny Coulombe,,Just Missed,,Calvin Faucher,,Jesús Tinoco,,Justin Sterner,,,,,,,,
,Daysbel Hernández,,Luke Weaver,,,,Yariel Rodríguez,,Yariel Rodríguez,,Beau Brieske,,,,,,,,,,
,,,Lucas Erceg,,,,Randy Rodríguez,,Randy Rodríguez,,Dedniel Núñez,,,,,,,,,,
,,,,,,,Reed Garrett,,,,Yariel Rodríguez,,,,,,,,,,
,,,,,,,,,,,Huascar Brazobán,,,,,,,,,,
