0,1,2,3,4,5
Wednesday – 4/1,Wednesday – 4/1,Wednesday – 4/1,Wednesday – 4/1,Wednesday – 4/1,Wednesday – 4/1
Date,Game,Away Pitcher,Sit / Start,Home Pitcher,Sit / Start
4/1,ATH at ATL,L. Severino,Sit-2,C. Sale,Start-9
4/1,TEX at BAL,K. Rocker,Sit-2,T. Rogers,Start-7
4/1,PIT at CIN,P. Skenes,Start-8,A. Abbott,Maybe-6
4/1,WSN at PHI,C. Cavalli,Sit-2,C. Sanchez,Start-10
4/1,COL at TOR,K. Freeland,Sit-1,K. Gausman,Start-8
4/1,CHW at MIA,S. Smith,Maybe-4,S. Alcantara,Start-7
4/1,NYM at STL,F. Peralta,Start-8,M. Liberatore,Sit-2
4/1,TBR at MIL,D. Rasmussen,Maybe-5,J. Misiorowski,Start-7
4/1,BOS at HOU,G. Crochet,Start-8,M. Burrows,Maybe-6
4/1,LAA at CHC,Y. Kikuchi,Maybe-4,M. Boyd,Maybe-6
4/1,DET at ARI,T. Skubal,Start-9,Z. Gallen,Maybe-6
4/1,NYY at SEA,C. Schlittler,Start-7,G. Kirby,Start-8
4/1,SFG at SDP,A. Houser,Sit-2,N. Pivetta,Maybe-6
4/1,MIN at KCR,S. Woods Richardson,Sit-2,N. Cameron,Maybe-5
4/1,CLE at LAD,G. Williams,Maybe-5,Y. Yamamoto,Start-9
