0,1,2,3,4,5
Thursday – 4/2,Thursday – 4/2,Thursday – 4/2,Thursday – 4/2,Thursday – 4/2,Thursday – 4/2
Date,Game,Away Pitcher,Sit / Start,Home Pitcher,Sit / Start
4/2,MIN at KCR,J. Ryan,Start-8,C. Ragans,Start-9
4/2,TOR at CHW,D. Cease,Start-8,S. Burke,Sit-1
4/2,ATL at ARI,R. Lopez,Sit-2,R. Nelson,Maybe-4
4/2,NYM at SFG,D. Peterson,Sit-3,R. Ray,Maybe-6
