0,1,2,3,4,5
Friday – 4/3,Friday – 4/3,Friday – 4/3,Friday – 4/3,Friday – 4/3,Friday – 4/3
Date,Game,Away Pitcher,Sit / Start,Home Pitcher,Sit / Start
4/3,LAD at WSN,E. Sheehan,Start-7,M. Mikolas,Sit-1
4/3,STL at DET,M. McGreevy,Sit-3,F. Valdez,Start-9
4/3,MIA at NYY,E. Perez,Start-7,W. Warren,Maybe-4
4/3,SDP at BOS,M. King,Maybe-5,S. Gray,Maybe-6
4/3,CIN at TEX,B. Singer,Sit-3,N. Eovaldi,Start-7
4/3,CHC at CLE,C. Horton,Maybe-6,J. Cantillo,Maybe-4
4/3,TBR at MIN,J. Boyle,Sit-2,T. Bradley,Sit-2
4/3,PHI at COL,A. Nola,Maybe-6,M. Lorenzen,Sit-1
4/3,BAL at PIT,K. Bradish,Start-8,M. Keller,Maybe-4
4/3,MIL at KCR,C. Patrick,Sit-3,M. Wacha,Sit-3
4/3,SEA at LAA,B. Woo,Start-10,R. Detmers,Sit-2
4/3,HOU at ATH,C. Javier,Sit-3,J. Springs,Sit-2
4/3,ATL at ARI,G. Holmes,Sit-3,E. Rodríguez,Sit-3
4/3,NYM at SFG,N. McLean,Start-7,T. Mahle,Sit-2
