0,1,2,3,4,5
Monday – 3/30,Monday – 3/30,Monday – 3/30,Monday – 3/30,Monday – 3/30,Monday – 3/30
Date,Game,Away Pitcher,Sit / Start,Home Pitcher,Sit / Start
3/30,MIN at KCR,M. Abel,Maybe-5,K. Bubic,Start-7
3/30,TEX at BAL,J. Leiter,Maybe-4,C. Bassitt,Sit-3
3/30,PIT at CIN,B. Ashcraft,Maybe-5,C. Burns,Start-8
3/30,WSN at PHI,F. Griffin,Sit-1,T. Walker,Sit-2
3/30,CHW at MIA,D. Martin,Sit-2,C. Paddack,Maybe-4
3/30,COL at TOR,T. Sugano,Sit-1,C. Ponce,Maybe-5
3/30,ATH at ATL,J. Lopez,Sit-3,B. Elder,Sit-2
3/30,LAA at CHC,R. Johnson,Sit-1,E. Cabrera,Start-7
3/30,TBR at MIL,N. Martinez,Sit-3,K. Harrison,Maybe-5
3/30,NYM at STL,C. Holmes,Sit-3,K. Leahy,Sit-3
3/30,BOS at HOU,R. Suárez,Maybe-5,L. McCullers,Sit-3
3/30,NYY at SEA,R. Weathers,Maybe-5,L. Castillo,Maybe-4
3/30,SFG at SDP,L. Roupp,Sit-2,W. Buehler,Sit-2
3/30,CLE at LAD,P. Messick,Maybe-4,R. Sasaki,Maybe-4
3/30,DET at ARI,J. Verlander,Sit-2,M. Soroka,Sit-1
