0,1,2,3,4,5
Tuesday – 3/31,Tuesday – 3/31,Tuesday – 3/31,Tuesday – 3/31,Tuesday – 3/31,Tuesday – 3/31
Date,Game,Away Pitcher,Sit / Start,Home Pitcher,Sit / Start
3/31,TEX at BAL,J. deGrom,Start-8,Z. Eflin,Maybe-5
3/31,PIT at CIN,B. Chandler,Start-7,B. Williamson,Maybe-5
3/31,WSN at PHI,Z. Littell,Sit-1,A. Painter,Maybe-5
3/31,CHW at MIA,E. Fedde,Sit-2,J. Junk,Sit-2
3/31,COL at TOR,R. Feltner,Sit-1,M. Scherzer,Maybe-4
3/31,ATH at ATL,A. Civale,Sit-2,J. Suarez,Sit-2
3/31,LAA at CHC,J. Soriano,Maybe-4,J. Taillon,Maybe-4
3/31,TBR at MIL,S. McClanahan,Maybe-6,B. Woodruff,Start-7
3/31,NYM at STL,K. Senga,Maybe-5,A. Pallante,Sit-2
3/31,BOS at HOU,B. Bello,Maybe-4,H. Brown,Start-8
3/31,NYY at SEA,M. Fried,Start-9,L. Gilbert,Start-8
3/31,SFG at SDP,L. Webb,Start-8,G. Márquez,Sit-1
3/31,DET at ARI,C. Mize,Maybe-4,B. Pfaadt,Sit-2
3/31,CLE at LAD,T. Bibee,Maybe-4,S. Ohtani,Start-8
