0,1,2,3,4,5
Sunday – 4/5,Sunday – 4/5,Sunday – 4/5,Sunday – 4/5,Sunday – 4/5,Sunday – 4/5
Date,Game,Away Pitcher,Sit / Start,Home Pitcher,Sit / Start
4/5,SDP at BOS,W. Buehler,Sit-2,R. Suárez,Maybe-5
4/5,MIA at NYY,C. Paddack,Sit-3,M. Fried,Start-10
4/5,LAD at WSN,R. Sasaki,Maybe-4,F. Griffin,Sit-1
4/5,BAL at PIT,C. Bassitt,Maybe-4,B. Ashcraft,Maybe-5
4/5,CHC at CLE,E. Cabrera,Start-7,P. Messick,Maybe-4
4/5,TOR at CHW,C. Ponce,Maybe-6,D. Martin,Sit-2
4/5,MIL at KCR,K. Harrison,Maybe-5,K. Bubic,Start-7
4/5,TBR at MIN,N. Martinez,Sit-3,M. Abel,Maybe-5
4/5,CIN at TEX,C. Burns,Start-7,J. Leiter,Maybe-4
4/5,PHI at COL,T. Walker,Sit-1,T. Sugano,Sit-1
4/5,HOU at ATH,L. McCullers,Sit-3,J. Lopez,Sit-3
4/5,NYM at SFG,K. Senga,Maybe-5,L. Webb,Start-8
4/5,SEA at LAA,L. Castillo,Maybe-5,R. Johnson,Sit-1
4/5,ATL at ARI,J. Suarez,Sit-2,B. Pfaadt,Sit-2
4/5,STL at DET,K. Leahy,Sit-3,J. Verlander,Sit-3
